chan_id,spacecraft,anomaly_sequences,class,num_values
A-1,SMAP,"[4690, 4774]",Neglected,8640
A-2,SMAP,"[4450, 4560]",Constant,7914
A-3,SMAP,"[4575, 4760]",Constant,8205
A-4,SMAP,"[4550, 4660]",Constant,8080
A-5,SMAP,"[2750, 2800]",Jump,4693
A-6,SMAP,"[1890, 1930]",Jump,4453
A-7,SMAP,"[6200, 8600]",Jump,8631
A-8,SMAP,"[4569, 8374]",Others,8375
A-9,SMAP,"[4569, 8433]",Others,8434
B-1,SMAP,"[5060, 5130]",Jump,8044
C-1,MSL,"[550, 750]",Others,2264
C-1,MSL,"[2100, 2210]",Neglected,2264
C-2,MSL,"[290, 390]",Neglected,2051
C-2,MSL,"[1540, 1575]",Neglected,2051
D-1,SMAP,"[5250, 8508]",Jump,8509
D-11,SMAP,"[4270, 4330]",Jump,7431
D-12,SMAP,"[5178, 7917]",Rise,7918
D-13,SMAP,"[5070, 5230]",Jump,7663
D-14,MSL,"[1630, 1650]",Neglected,2625
D-14,MSL,"[1800, 2000]",Jump,2625
D-15,MSL,"[1500, 2140]",Rise,2158
D-16,MSL,"[600, 1250]",Rise,2191
D-2,SMAP,"[4319, 8536]",Jump,8595
D-3,SMAP,"[5225, 8500]",Rise,8640
D-4,SMAP,"[5225, 8472]",Rise,8473
D-5,SMAP,"[4800, 4850]",Neglected,7628
D-6,SMAP,"[4870, 4950]",Neglected,7884
D-7,SMAP,"[4940, 7641]",Rise,7642
D-8,SMAP,"[4370, 4420]",Neglected,7874
D-9,SMAP,"[6250, 7405]",Jump,7406
E-1,SMAP,"[5000, 5030]",Neglected,8516
E-1,SMAP,"[5610, 6086]",Constant,8516
E-10,SMAP,"[5000, 5050]",Neglected,8505
E-10,SMAP,"[5601, 5871]",Constant,8505
E-11,SMAP,"[5000, 5050]",Neglected,8514
E-11,SMAP,"[5614, 5857]",Constant,8514
E-12,SMAP,"[5610, 6141]",Neglected,8512
E-12,SMAP,"[5000, 5050]",Constant,8512
E-13,SMAP,"[5309, 5410]",Neglected,8640
E-13,SMAP,"[5600, 5640]",Neglected,8640
E-13,SMAP,"[6449, 6569]",Neglected,8640
E-2,SMAP,"[5598, 6995]",Jump,8532
E-3,SMAP,"[5094, 8306]",Jump,8307
E-4,SMAP,"[5450, 8261]",Jump,8354
E-5,SMAP,"[5600, 5920]",Neglected,8294
E-6,SMAP,"[5610, 5675]",Neglected,8300
E-7,SMAP,"[5394, 5674]",Jump,8310
E-8,SMAP,"[5400, 6022]",Jump,8532
E-9,SMAP,"[5550, 5900]",Jump,8302
F-1,SMAP,"[5392, 5492]",Neglected,8584
F-2,SMAP,"[5669, 8625]",Constant,8626
F-3,SMAP,"[5600, 5640]",Jump,8376
F-4,MSL,"[2700, 2770]",Neglected,3422
F-5,MSL,"[3550, 3700]",Neglected,3922
F-7,MSL,"[1250, 1450]",Others,5054
F-7,MSL,"[2670, 2790]",Others,5054
F-7,MSL,"[3325, 3425]",Others,5054
F-8,MSL,"[1950, 2486]",Others,2487
G-1,SMAP,"[4770, 4890]",Constant,8469
G-2,SMAP,"[4030, 4070]",Neglected,7361
G-3,SMAP,"[4200, 4250]",Neglected,7907
G-4,SMAP,"[4690, 4720]",Neglected,7632
G-6,SMAP,"[5600, 5700]",Jump,8640
G-7,SMAP,"[3650, 3750]",Others,8029
G-7,SMAP,"[5050, 5100]",Neglected,8029
G-7,SMAP,"[7560, 7675]",Others,8029
M-1,MSL,"[1110, 2250]",Others,2277
M-2,MSL,"[1110, 2250]",Others,2277
M-3,MSL,"[1250, 1500]",Others,2127
M-4,MSL,"[1250, 1500]",Others,2038
M-5,MSL,"[1250, 1550]",Others,2303
M-6,MSL,"[1850, 2030]",Jump,2049
M-7,MSL,"[940, 1040]",Neglected,2156
P-1,SMAP,"[2149, 2349]",Constant,8505
P-1,SMAP,"[4536, 4844]",Constant,8505
P-1,SMAP,"[3539, 3779]",Constant,8505
P-10,MSL,"[4590, 4720]",Jump,6100
P-11,MSL,"[1778, 1898]",Jump,3535
P-11,MSL,"[1238, 1344]",Jump,3535
P-14,MSL,"[4575, 4755]",Jump,6100
P-15,MSL,"[1390, 1410]",Jump,2856
P-2,SMAP,"[5350, 6575]",Jump,8209
P-2,SMAP,"[5300, 6420]",Jump,8209
P-3,SMAP,"[5401, 6736]",Jump,8493
P-4,SMAP,"[950, 1080]",Others,7783
P-4,SMAP,"[2150, 2350]",Neglected,7783
P-4,SMAP,"[4770, 4880]",Others,7783
P-7,SMAP,"[4950, 6600]",Others,8071
R-1,SMAP,"[4510, 4590]",Neglected,7244
S-1,SMAP,"[5300, 5747]",Jump,7331
S-2,MSL,"[900, 910]",Neglected,1827
T-1,SMAP,"[2399, 3898]",Jump,8612
T-1,SMAP,"[6550, 6585]",Jump,8612
T-12,MSL,"[630, 750]",Others,2430
T-13,MSL,"[690, 790]",Jump,2430
T-13,MSL,"[1900, 2050]",Jump,2430
T-2,SMAP,"[6840, 8624]",Jump,8625
T-3,SMAP,"[2098, 2180]",Neglected,8579
T-3,SMAP,"[5200, 5300]",Neglected,8579
T-4,MSL,"[1172, 1240]",Neglected,2217
T-5,MSL,"[1200, 1225]",Neglected,2218
T-8,MSL,"[870, 930]",Neglected,1519
T-8,MSL,"[1330, 1370]",Neglected,1519
T-9,MSL,"[780, 810]",Neglected,1096
T-9,MSL,"[890, 970]",Others,1096
